股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
300242,佳云科技,创业板,2022-08-20,3.31,-0.6,-0.02,118253,39653069.0,3.0,3.4,3.3,3.35,1.89,文化传媒,广东板块,-30.33,4.46
300243,瑞丰高材,创业板,2022-08-20,10.39,-2.17,-0.23,30770,32349714.0,3.11,10.69,10.36,10.61,1.63,塑料制品,山东板块,19.22,2.92
300244,迪安诊断,创业板,2022-08-20,30.59,-1.13,-0.35,46187,142328684.99,1.94,31.13,30.53,30.74,0.95,医疗服务,浙江板块,6.33,2.92
300245,天玑科技,创业板,2022-08-20,8.35,0.6,0.05,71343,59591542.69,2.29,8.43,8.24,8.31,2.3,互联网服务,上海板块,-109.26,1.74
300246,宝莱特,创业板,2022-08-20,15.95,-3.8,-0.63,36502,59697698.58,5.61,16.88,15.95,16.86,2.63,医疗器械,广东板块,50.23,2.08
300247,融捷健康,创业板,2022-08-20,3.47,0.0,0.0,131836,45997250.0,2.59,3.54,3.45,3.49,1.64,家电行业,安徽板块,135.1,3.34
300248,新开普,创业板,2022-08-20,9.02,-0.55,-0.05,111874,102710900.59,3.31,9.32,9.02,9.15,2.76,互联网服务,河南板块,-60.18,2.3
300249,依米康,创业板,2022-08-20,9.37,-3.0,-0.29,263414,252914855.11,4.66,9.82,9.37,9.67,8.6,软件开发,四川板块,46.71,5.84
300250,初灵信息,创业板,2022-08-20,13.88,-2.05,-0.29,129771,184764513.0,4.38,14.5,13.88,14.07,8.14,互联网服务,浙江板块,227.38,4.36
300251,光线传媒,创业板,2022-08-20,9.51,-0.21,-0.02,195820,188957219.6,4.09,9.88,9.49,9.5,0.7,文化传媒,北京板块,93.51,3.1
300252,金信诺,创业板,2022-08-20,8.29,-5.47,-0.48,170615,145614283.16,7.07,8.91,8.29,8.79,3.86,通信设备,广东板块,151.9,2.05
