股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600267,海正药业,沪a,2022-08-19,11.16,-1.33,-0.15,99126,111437311.0,2.39,11.37,11.1,11.27,0.89,化学制药,浙江板块,20.97,1.79
600268,国电南自,沪a,2022-08-19,10.5,0.77,0.08,419126,435496451.0,4.7,10.63,10.14,10.4,6.03,电网设备,江苏板块,-185.0,2.86
600269,赣粤高速,沪a,2022-08-19,3.4,0.29,0.01,81851,27886665.0,1.18,3.42,3.38,3.39,0.35,铁路公路,江西板块,5.98,0.48
600270,外运发展,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600271,航天信息,沪a,2022-08-19,10.65,-1.3,-0.14,77056,83026657.0,2.5,10.91,10.64,10.79,0.42,互联网服务,北京板块,33.83,1.48
600272,开开实业,沪a,2022-08-19,9.39,-1.37,-0.13,48731,46400189.0,3.15,9.68,9.38,9.54,3.05,医药商业,上海板块,67.59,4.25
600273,嘉化能源,沪a,2022-08-19,10.35,-0.29,-0.03,101659,105476977.0,1.06,10.44,10.33,10.38,0.73,化学制品,浙江板块,7.07,1.51
600275,退市昌鱼,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600276,恒瑞医药,沪a,2022-08-19,35.9,-0.39,-0.14,232145,836152766.0,1.64,36.39,35.8,35.89,0.36,化学制药,江苏板块,54.03,6.35
600277,亿利洁能,沪a,2022-08-19,5.45,6.03,0.31,2868167,1543478379.0,10.31,5.6,5.07,5.17,8.06,化学原料,内蒙古,34.21,1.18
600278,东方创业,沪a,2022-08-19,7.09,0.0,0.0,20422,14509441.0,0.99,7.13,7.06,7.1,0.3,贸易行业,上海板块,17.67,0.91
600279,重庆港,沪a,2022-08-19,4.27,0.47,0.02,71798,30711529.0,2.82,4.34,4.22,4.25,0.83,航运港口,重庆板块,268.8,0.91
600280,中央商场,沪a,2022-08-19,2.39,0.84,0.02,57703,13864428.0,2.11,2.42,2.37,2.38,0.51,商业百货,江苏板块,64.07,2.76
600281,华阳新材,沪a,2022-08-19,5.35,-0.93,-0.05,52975,28580275.0,2.04,5.45,5.34,5.44,1.03,小金属,山西板块,251.07,5.68
600282,南钢股份,沪a,2022-08-19,3.07,0.99,0.03,253059,77723623.0,1.64,3.09,3.04,3.05,0.57,钢铁行业,江苏板块,6.6,0.74
600283,钱江水利,沪a,2022-08-19,14.03,0.43,0.06,80259,112849166.0,2.08,14.19,13.9,13.98,2.27,公用事业,浙江板块,30.16,2.35
600284,浦东建设,沪a,2022-08-19,6.62,0.0,0.0,87226,58021578.0,1.66,6.7,6.59,6.65,0.9,工程建设,上海板块,10.26,0.95
600285,羚锐制药,沪a,2022-08-19,12.21,-0.49,-0.06,94936,116307545.0,1.79,12.36,12.14,12.22,1.7,中药,河南板块,12.81,3.03
600286,S*ST国瓷,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600287,江苏舜天,沪a,2022-08-19,5.32,-0.19,-0.01,32528,17329971.0,1.5,5.38,5.3,5.35,0.74,商业百货,江苏板块,44.27,1.36
600288,大恒科技,沪a,2022-08-19,15.25,0.0,0.0,70603,107901932.0,3.54,15.59,15.05,15.27,1.62,电子元件,北京板块,39.08,3.6
600289,ST信通,沪a,2022-08-19,2.99,-0.33,-0.01,18821,5635725.0,1.67,3.03,2.98,3.0,0.33,通信服务,黑龙江,-7.9,1.17
600290,ST华仪,沪a,2022-08-19,2.52,-1.18,-0.03,65489,16549547.0,3.14,2.57,2.49,2.54,0.86,电网设备,浙江板块,-10.32,6.52
600291,退市西水,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
