股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
688019,安集科技,科创版,2022-08-20,266.34,-1.83,-4.97,7565,204585949.0,5.13,279.93,266.0,272.05,1.01,电子化学品,上海板块,125.6,16.17
688020,方邦股份,科创版,2022-08-20,56.27,-9.27,-5.75,27733,160295267.0,10.32,62.5,56.1,61.51,3.47,电子元件,广东板块,-70.04,2.85
688021,奥福环保,科创版,2022-08-20,27.74,-2.94,-0.84,2770,7818112.0,4.62,28.84,27.52,28.58,0.6,环保行业,山东板块,53.99,2.26
688022,瀚川智能,科创版,2022-08-20,70.3,-6.52,-4.9,29080,209811013.0,12.67,78.18,68.65,77.07,2.68,专用设备,江苏板块,1201.4,8.13
688023,安恒信息,科创版,2022-08-20,159.25,-1.83,-2.97,7077,115718970.0,5.91,168.65,159.07,161.0,1.25,软件开发,浙江板块,-16.44,4.31
688025,杰普特,科创版,2022-08-20,69.61,-5.05,-3.7,53802,388159241.0,7.27,74.78,69.45,73.6,9.79,电子元件,广东板块,66.93,3.78
688026,洁特生物,科创版,2022-08-20,38.37,-3.01,-1.19,4244,16479115.0,4.04,39.8,38.2,39.18,0.57,塑料制品,广东板块,32.83,5.62
688027,国盾量子,科创版,2022-08-20,114.0,-4.11,-4.89,7724,90760144.0,6.63,121.88,114.0,118.49,1.65,通信设备,安徽板块,-116.56,5.51
688028,沃尔德,科创版,2022-08-20,52.55,-8.45,-4.85,22947,123153467.0,9.2,57.18,51.9,56.8,2.87,通用设备,北京板块,147.06,4.91
688029,南微医学,科创版,2022-08-20,85.28,-2.11,-1.84,15586,136293509.0,6.47,90.9,85.26,87.48,0.83,医疗器械,江苏板块,63.95,5.33
688030,山石网科,科创版,2022-08-20,21.73,-3.03,-0.68,8291,18442516.0,4.77,22.79,21.72,22.41,0.83,软件开发,江苏板块,-13.65,2.76
688032,禾迈股份,科创版,2022-08-20,1072.88,0.89,9.49,5089,534372398.0,9.54,1110.5,1009.0,1049.7,3.84,光伏设备,浙江板块,172.16,10.09
688033,天宜上佳,科创版,2022-08-20,27.6,-5.77,-1.69,135518,377016801.0,8.81,29.68,27.1,29.57,3.01,交运设备,北京板块,85.9,4.65
688036,传音控股,科创版,2022-08-20,77.41,-3.07,-2.45,104044,828151814.0,5.23,81.51,77.33,80.8,2.63,消费电子,广东板块,19.55,4.56
688037,芯源微,科创版,2022-08-20,214.0,-5.54,-12.55,18051,391979661.0,6.99,228.99,213.16,228.98,4.0,半导体,辽宁板块,152.62,10.52
688038,中科通达,科创版,2022-08-20,14.29,-2.52,-0.37,7927,11541269.0,4.91,14.98,14.26,14.65,0.99,软件开发,湖北板块,110.28,2.26
688039,当虹科技,科创版,2022-08-20,51.05,0.12,0.06,16238,82847141.0,3.57,51.82,50.0,51.42,3.28,互联网服务,浙江板块,-68.37,2.74
688041,海光信息,科创版,2022-08-20,54.26,-5.88,-3.39,198562,1121274065.0,8.81,59.1,54.02,58.01,9.95,半导体,天津板块,132.5,7.6
688045,必易微,科创版,2022-08-20,78.0,3.3,2.49,29094,228416053.0,9.68,82.8,75.49,75.55,19.86,半导体,广东板块,46.15,4.0
688046,药康生物,科创版,2022-08-20,32.8,2.56,0.82,15989,51035894.0,7.91,33.08,30.55,32.26,3.63,生物制品,江苏板块,82.37,7.1
688047,龙芯中科,科创版,2022-08-20,88.5,-0.56,-0.5,24956,224292330.0,2.67,90.88,88.5,89.0,8.0,半导体,北京板块,243.59,9.21
688048,长光华芯,科创版,2022-08-20,138.0,-5.22,-7.6,21656,313023885.0,9.24,151.0,137.55,147.49,7.34,半导体,江苏板块,158.1,5.9
688049,炬芯科技,科创版,2022-08-20,39.16,-5.75,-2.39,19180,77890431.0,7.56,42.26,39.12,41.79,6.99,半导体,广东板块,113.82,2.77
688050,爱博医疗,科创版,2022-08-20,200.08,-0.4,-0.81,8234,167413617.0,5.32,208.7,198.01,198.33,1.18,医疗器械,北京板块,85.43,12.16
688051,佳华科技,科创版,2022-08-20,27.91,-4.02,-1.17,7068,20259048.0,6.77,29.77,27.8,29.09,2.97,互联网服务,北京板块,-18.29,1.72
688052,纳芯微,科创版,2022-08-20,393.01,0.0,0.01,8042,319561321.0,4.47,405.88,388.31,390.0,3.73,半导体,江苏板块,117.8,6.47
688053,思科瑞,科创版,2022-08-20,71.3,-3.65,-2.7,7420,54400902.0,7.01,75.88,70.69,74.02,3.39,电子元件,四川板块,94.42,4.49
