股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
000761,本钢板材,深a,2022-08-19,3.4,-0.58,-0.02,51927,17716763.0,1.17,3.44,3.4,3.43,0.14,钢铁行业,辽宁板块,12.43,0.71
000762,西藏矿业,深a,2022-08-19,51.82,-2.81,-1.5,156087,819199820.78,3.34,53.58,51.8,53.16,3.0,采掘行业,西藏板块,51.1,11.78
000763,锦州石化,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000765,*ST华信,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000766,通化金马,深a,2022-08-19,4.82,-0.41,-0.02,52204,25350255.0,1.65,4.9,4.82,4.84,0.62,化学制药,吉林板块,201.21,2.01
000767,晋控电力,深a,2022-08-19,4.13,2.99,0.12,800224,325433367.47,5.49,4.15,3.93,3.97,2.75,电力行业,山西板块,321.81,1.66
000768,中航西飞,深a,2022-08-19,30.38,-2.63,-0.82,171997,528516873.67,2.85,31.23,30.34,31.05,0.62,航天航空,陕西板块,136.02,5.36
000769,*ST大菲,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000776,广发证券,深a,2022-08-19,16.34,-0.85,-0.14,360676,592533294.91,1.88,16.61,16.3,16.42,0.61,证券,广东板块,23.9,1.2
000777,中核科技,深a,2022-08-19,11.36,-0.26,-0.03,53753,61156581.93,1.84,11.49,11.28,11.4,1.4,通用设备,江苏板块,-74.66,2.73
000778,新兴铸管,深a,2022-08-19,4.25,0.24,0.01,261575,111432985.07,1.18,4.28,4.23,4.23,0.67,钢铁行业,河北板块,7.45,0.72
000779,甘咨询,深a,2022-08-19,9.95,-2.93,-0.3,66775,67129033.19,2.54,10.19,9.93,10.15,1.79,工程咨询服务,甘肃板块,23.43,1.56
000780,ST平能,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000782,美达股份,深a,2022-08-19,5.25,-1.5,-0.08,82489,43662259.51,1.88,5.35,5.25,5.31,1.56,化纤行业,广东板块,34.86,1.86
000783,长江证券,深a,2022-08-19,5.54,-0.36,-0.02,175327,97641943.28,1.44,5.6,5.52,5.55,0.32,证券,湖北板块,163.5,1.02
000785,居然之家,深a,2022-08-19,4.0,-0.5,-0.02,57773,23266566.02,1.74,4.07,4.0,4.03,0.21,商业百货,湖北板块,12.94,1.4
000786,北新建材,深a,2022-08-19,27.07,0.74,0.2,80595,218744289.09,2.12,27.35,26.78,26.88,0.48,装修建材,北京板块,20.42,2.49
000787,*ST创智,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000788,北大医药,深a,2022-08-19,7.11,-0.14,-0.01,46745,33365732.05,0.98,7.17,7.1,7.13,0.78,化学制药,重庆板块,89.23,3.17
000789,万年青,深a,2022-08-19,10.12,-0.1,-0.01,31342,31789219.56,1.09,10.22,10.11,10.15,0.39,水泥建材,江西板块,9.65,1.09
000790,华神科技,深a,2022-08-19,4.62,-1.28,-0.06,68019,31793175.1,2.35,4.73,4.62,4.68,1.1,中药,四川板块,76.61,2.95
000791,甘肃电投,深a,2022-08-19,6.22,1.63,0.1,420685,259866717.42,4.08,6.29,6.04,6.16,3.09,电力行业,甘肃板块,28.94,1.23
000792,盐湖股份,深a,2022-08-19,28.15,-0.85,-0.24,349998,990525320.48,1.41,28.52,28.12,28.3,0.64,化肥行业,青海板块,10.93,11.86
000793,华闻集团,深a,2022-08-19,2.42,0.83,0.02,287459,70206987.55,3.75,2.47,2.38,2.39,1.47,文化传媒,海南板块,-30.3,1.81
000795,英洛华,深a,2022-08-19,7.86,-3.44,-0.28,528108,421430464.1,4.91,8.26,7.86,8.26,4.66,小金属,浙江板块,35.34,3.43
000796,ST凯撒,深a,2022-08-19,5.08,-0.97,-0.05,84177,43186848.0,2.34,5.19,5.07,5.13,1.05,旅游酒店,海南板块,-16.17,88.67
000797,中国武夷,深a,2022-08-19,2.89,1.4,0.04,232333,67405739.88,3.51,2.94,2.84,2.86,1.48,房地产开发,福建板块,108.18,0.88
000798,中水渔业,深a,2022-08-19,10.7,1.04,0.11,125998,135340532.98,3.12,10.88,10.55,10.58,3.94,农牧饲渔,北京板块,37.53,4.06
000799,酒鬼酒,深a,2022-08-19,147.0,-0.82,-1.22,30718,454062202.32,1.78,149.3,146.66,147.0,0.95,酿酒行业,湖南板块,22.92,13.18
000800,一汽解放,深a,2022-08-19,8.82,-4.85,-0.45,317807,282532703.96,3.56,9.1,8.77,9.1,2.25,汽车整车,吉林板块,22.7,1.73
000801,四川九洲,深a,2022-08-19,7.08,-1.94,-0.14,147520,105807338.06,3.19,7.3,7.07,7.2,1.44,家电行业,四川板块,55.84,2.69
000802,北京文化,深a,2022-08-19,4.2,-0.24,-0.01,31922,13527887.0,2.38,4.29,4.19,4.2,0.45,文化传媒,北京板块,-36.1,1.91
000803,北清环能,深a,2022-08-19,15.41,-2.96,-0.47,53893,84421145.46,4.6,16.1,15.37,15.85,1.9,综合行业,四川板块,33.58,3.99
000805,*ST炎黄,深a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
000806,*ST银河,深a,2022-08-19,2.29,0.44,0.01,45861,10619409.53,3.51,2.36,2.28,2.28,0.66,电网设备,广西板块,-42.91,-2.8
000807,云铝股份,深a,2022-08-19,10.41,-0.86,-0.09,827530,864666303.71,2.67,10.58,10.3,10.43,2.65,有色金属,云南板块,8.03,1.91
000809,ST新城,深a,2022-08-19,3.18,0.63,0.02,38928,12442966.5,2.22,3.23,3.16,3.17,0.47,房地产开发,辽宁板块,-22.31,0.92
000810,创维数字,深a,2022-08-19,25.21,1.94,0.48,635135,1616518318.2,7.93,26.58,24.62,25.1,5.68,家电行业,四川板块,29.51,5.05
